Flight_Number,Date,Origin,Destination,Aircraft_Type,Passengers,Delay_Minutes,Delay_Reason,Cancelled
DL1423,2026-05-04,ATL,CDG,A220,244,0,None,N
DL1424,2026-05-10,ATL,CDG,B757,279,0,None,N
DL1425,2026-05-27,ATL,CDG,A321,196,0,None,N
DL1426,2026-05-18,ATL,NRT,B757,280,0,None,N
DL1427,2026-05-20,ATL,NRT,B767,147,0,None,N
DL1428,2026-05-11,ATL,NRT,A220,238,0,None,N
DL1429,2026-05-13,ATL,NRT,B767,230,0,Cancelled,Y
DL1430,2026-05-08,ATL,NRT,B757,209,0,None,N
DL1431,2026-05-07,ATL,NRT,A220,180,0,None,N
DL1432,2026-05-03,ATL,NRT,A350,308,0,None,N
DL1433,2026-05-17,ATL,NRT,A220,167,0,None,N
DL1434,2026-05-08,ATL,NRT,A321,179,0,None,N
DL1435,2026-05-22,ATL,MEX,A220,297,0,None,N
DL1436,2026-05-09,ATL,MEX,B757,261,0,None,N
DL1437,2026-05-26,ATL,MEX,B767,320,0,None,N
DL1438,2026-05-14,ATL,MEX,A321,267,120,Mechanical,N
DL1439,2026-05-19,ATL,MEX,A220,211,0,None,N
DL1440,2026-05-20,ATL,MEX,A321,317,0,None,N
DL1441,2026-05-10,ATL,MEX,A321,292,75,Air Traffic Control,N
DL1442,2026-05-21,ATL,MEX,A321,267,0,None,N
DL1443,2026-05-15,ATL,MEX,A321,177,0,None,N
DL1444,2026-05-19,ATL,MEX,B767,295,60,Air Traffic Control,N
DL1445,2026-05-07,ATL,AMS,A350,142,0,None,N
DL1446,2026-05-02,ATL,AMS,A220,216,0,None,N
DL1447,2026-05-25,ATL,AMS,A220,251,0,None,N
DL1448,2026-05-27,ATL,AMS,A321,239,0,None,N
DL1449,2026-05-12,ATL,AMS,A350,255,0,None,N
DL1450,2026-05-22,ATL,AMS,A220,242,75,Air Traffic Control,N
DL1451,2026-05-19,ATL,AMS,A220,252,75,Air Traffic Control,N
DL1452,2026-05-19,ATL,AMS,B767,163,0,None,N
DL1453,2026-05-12,ATL,AMS,A220,219,0,None,N
DL1454,2026-05-06,ATL,AMS,B757,316,0,None,N
DL1455,2026-05-17,ATL,ICN,A220,180,0,None,N
DL1456,2026-05-10,ATL,ICN,A220,155,35,Air Traffic Control,N
DL1457,2026-05-20,ATL,ICN,A350,301,0,None,N
DL1458,2026-05-23,ATL,ICN,A220,218,0,None,N
DL1459,2026-05-01,ATL,ICN,A220,165,0,None,N
DL1460,2026-05-01,ATL,ICN,B757,285,90,Crew,N
DL1461,2026-05-21,ATL,ICN,A220,176,0,None,N
DL1462,2026-05-07,ATL,ICN,A350,270,25,Air Traffic Control,N
DL1463,2026-05-01,ATL,ICN,A220,259,120,Air Traffic Control,N
DL1464,2026-05-14,ATL,ICN,B757,288,15,Mechanical,N
DL1465,2026-05-05,ATL,ICN,A350,183,0,None,N
DL1466,2026-05-09,ATL,ICN,A350,289,0,None,N
DL1467,2026-05-12,ATL,ICN,A350,145,0,None,N
DL1468,2026-05-08,ATL,ICN,A321,151,0,None,N
DL1469,2026-05-20,JFK,LHR,B757,184,25,Late Inbound Aircraft,N
DL1470,2026-05-01,JFK,LHR,A321,217,0,None,N
DL1471,2026-05-20,JFK,LHR,B767,157,0,None,N
DL1472,2026-05-22,JFK,LHR,A321,196,0,None,N
DL1473,2026-05-10,JFK,LHR,B767,145,0,None,N
DL1474,2026-05-03,JFK,LHR,A350,187,0,None,N
DL1475,2026-05-10,JFK,LHR,A220,225,0,None,N
DL1476,2026-05-13,JFK,LHR,A321,171,0,None,N
DL1477,2026-05-12,LAX,ICN,B757,259,0,None,N
DL1478,2026-05-12,LAX,ICN,B767,179,15,Air Traffic Control,N
DL1479,2026-05-23,LAX,ICN,A220,172,120,Crew,N
DL1480,2026-05-15,LAX,ICN,B767,201,0,None,N
DL1481,2026-05-12,LAX,ICN,A220,236,0,None,N
DL1482,2026-05-07,LAX,ICN,B767,192,0,None,N
DL1483,2026-05-15,LAX,ICN,A220,206,0,None,N
DL1484,2026-05-15,LAX,ICN,A321,203,0,None,N
DL1485,2026-05-20,LAX,ICN,A220,163,20,Mechanical,N
DL1486,2026-05-09,LAX,ICN,A220,147,0,None,N
DL1487,2026-05-05,LAX,ICN,B767,162,0,None,N
DL1488,2026-05-25,LAX,ICN,A350,309,0,None,N
DL1489,2026-05-03,LAX,ICN,B757,268,0,None,N
DL1490,2026-05-07,LAX,ICN,B757,242,35,Weather,N
DL1491,2026-05-13,ORD,CDG,B767,300,0,None,N
DL1492,2026-05-09,ORD,CDG,B757,309,0,None,N
DL1493,2026-05-14,ORD,CDG,A321,320,0,Cancelled,Y
DL1494,2026-05-08,ORD,CDG,A350,300,0,None,N
DL1495,2026-05-06,ORD,CDG,A321,150,35,Mechanical,N
DL1496,2026-05-02,ORD,CDG,B767,217,0,None,N
DL1497,2026-05-13,ORD,CDG,B767,301,0,None,N
DL1498,2026-05-19,ORD,CDG,B757,273,0,None,N
DL1499,2026-05-14,ORD,CDG,A350,140,0,None,N
DL1500,2026-05-27,ORD,CDG,A220,150,0,None,N
DL1501,2026-05-23,ATL,JFK,B767,221,20,Weather,N
DL1502,2026-05-25,ATL,JFK,A321,162,0,None,N
DL1503,2026-05-23,ATL,JFK,B767,297,0,None,N
DL1504,2026-05-09,ATL,JFK,A321,248,0,None,N
DL1505,2026-05-11,ATL,JFK,A321,300,0,None,N
DL1506,2026-05-17,ATL,JFK,A220,249,0,None,N
DL1507,2026-05-25,ATL,JFK,A220,151,0,None,N
DL1508,2026-05-09,ATL,JFK,A350,203,35,Air Traffic Control,N
DL1509,2026-05-06,ATL,JFK,B757,191,0,None,N
DL1510,2026-05-05,ATL,JFK,A321,311,0,None,N
DL1511,2026-05-08,ATL,JFK,B757,304,90,Weather,N
DL1512,2026-05-23,ATL,JFK,A220,176,0,None,N
DL1513,2026-05-08,ATL,LAX,A321,280,0,None,N
DL1514,2026-05-25,ATL,LAX,A220,179,0,None,N
DL1515,2026-05-15,ATL,LAX,A350,192,0,None,N
DL1516,2026-05-23,ATL,LAX,A350,192,0,None,N
DL1517,2026-05-02,ATL,LAX,A350,254,20,Mechanical,N
DL1518,2026-05-06,ATL,LAX,B757,232,0,None,N
DL1519,2026-05-06,ATL,LAX,A350,264,90,Late Inbound Aircraft,N
DL1520,2026-05-24,ATL,LAX,B757,284,0,None,N
DL1521,2026-05-04,ATL,LAX,B767,265,0,None,N
DL1522,2026-05-26,ATL,LAX,A220,300,20,Mechanical,N
DL1523,2026-05-24,ATL,LAX,A350,147,35,Weather,N
DL1524,2026-05-25,ATL,LAX,A220,303,60,Weather,N
DL1525,2026-05-22,ATL,ORD,A220,219,0,None,N
DL1526,2026-05-11,ATL,ORD,B757,231,0,None,N
DL1527,2026-05-08,ATL,ORD,B757,234,0,None,N
DL1528,2026-05-08,ATL,ORD,A321,195,75,Late Inbound Aircraft,N
DL1529,2026-05-14,ATL,ORD,A350,300,45,Mechanical,N
DL1530,2026-05-05,ATL,ORD,A350,242,90,Mechanical,N
DL1531,2026-05-02,ATL,ORD,B757,195,0,None,N
DL1532,2026-05-01,ATL,ORD,A321,270,0,None,N
DL1533,2026-05-05,ATL,ORD,A321,271,0,None,N
DL1534,2026-05-11,ATL,ORD,A321,182,25,Late Inbound Aircraft,N
DL1535,2026-05-10,ATL,ORD,B757,284,0,Cancelled,Y
DL1536,2026-05-19,ATL,ORD,A220,249,60,Air Traffic Control,N
DL1537,2026-05-21,ATL,ORD,A220,295,0,None,N
DL1538,2026-05-03,ATL,ORD,A220,216,60,Mechanical,N
DL1539,2026-06-14,ATL,LHR,B767,305,0,None,N
DL1540,2026-06-10,ATL,LHR,A350,302,0,None,N
DL1541,2026-06-07,ATL,LHR,A350,316,0,None,N
DL1542,2026-06-05,ATL,LHR,A321,288,0,None,N
DL1543,2026-06-12,ATL,LHR,B757,241,0,None,N
DL1544,2026-06-04,ATL,LHR,A220,191,0,None,N
DL1545,2026-06-24,ATL,LHR,A350,204,0,None,N
DL1546,2026-06-07,ATL,LHR,B767,257,90,Weather,N
DL1547,2026-06-18,ATL,LHR,A350,285,120,Late Inbound Aircraft,N
DL1548,2026-06-14,ATL,LHR,A220,174,0,None,N
DL1549,2026-06-18,ATL,LHR,A220,169,0,None,N
DL1550,2026-06-04,ATL,LHR,B767,279,0,None,N
DL1551,2026-06-19,ATL,CDG,A321,154,60,Crew,N
DL1552,2026-06-08,ATL,CDG,B767,170,35,Air Traffic Control,N
DL1553,2026-06-14,ATL,CDG,B767,230,35,Mechanical,N
DL1554,2026-06-12,ATL,CDG,A350,314,0,None,N
DL1555,2026-06-27,ATL,CDG,A321,231,120,Mechanical,N
DL1556,2026-06-02,ATL,CDG,A220,231,0,None,N
DL1557,2026-06-11,ATL,CDG,A321,189,35,Weather,N
DL1558,2026-06-01,ATL,CDG,A350,169,0,None,N
DL1559,2026-06-16,ATL,CDG,B767,187,0,None,N
DL1560,2026-06-10,ATL,NRT,A220,176,0,None,N
DL1561,2026-06-09,ATL,NRT,A321,208,0,None,N
DL1562,2026-06-01,ATL,NRT,A321,178,0,Cancelled,Y
DL1563,2026-06-17,ATL,NRT,A220,298,15,Weather,N
DL1564,2026-06-13,ATL,NRT,A321,317,0,None,N
DL1565,2026-06-13,ATL,NRT,A350,272,0,None,N
DL1566,2026-06-12,ATL,NRT,B767,151,25,Mechanical,N
DL1567,2026-06-06,ATL,NRT,A220,224,0,None,N
DL1568,2026-06-15,ATL,NRT,B757,141,0,None,N
DL1569,2026-06-19,ATL,NRT,A350,295,35,Air Traffic Control,N
DL1570,2026-06-21,ATL,NRT,A321,209,0,None,N
DL1571,2026-06-09,ATL,NRT,A220,231,0,None,N
DL1572,2026-06-17,ATL,MEX,B767,164,15,Late Inbound Aircraft,N
DL1573,2026-06-25,ATL,MEX,B757,165,0,None,N
DL1574,2026-06-26,ATL,MEX,A350,176,0,None,N
DL1575,2026-06-10,ATL,MEX,A220,232,0,None,N
DL1576,2026-06-21,ATL,MEX,B757,243,0,None,N
DL1577,2026-06-02,ATL,MEX,A220,263,0,None,N
DL1578,2026-06-12,ATL,MEX,B767,229,0,None,N
DL1579,2026-06-05,ATL,MEX,A321,311,0,None,N
DL1580,2026-06-13,ATL,MEX,B767,217,0,None,N
DL1581,2026-06-19,ATL,MEX,A220,286,45,Weather,N
DL1582,2026-06-22,ATL,MEX,A220,188,0,None,N
DL1583,2026-06-03,ATL,MEX,A321,231,60,Late Inbound Aircraft,N
DL1584,2026-06-03,ATL,AMS,A220,205,25,Weather,N
DL1585,2026-06-01,ATL,AMS,A350,200,0,None,N
DL1586,2026-06-07,ATL,AMS,B757,294,0,None,N
DL1587,2026-06-17,ATL,AMS,A350,293,15,Late Inbound Aircraft,N
DL1588,2026-06-03,ATL,AMS,B757,287,0,None,N
DL1589,2026-06-24,ATL,AMS,B757,143,120,Mechanical,N
DL1590,2026-06-01,ATL,AMS,A321,146,0,None,N
DL1591,2026-06-13,ATL,AMS,A350,184,0,None,N
DL1592,2026-06-14,ATL,AMS,A321,293,60,Crew,N
DL1593,2026-06-09,ATL,AMS,B757,146,0,None,N
DL1594,2026-06-19,ATL,AMS,B767,224,75,Mechanical,N
DL1595,2026-06-03,ATL,AMS,B767,193,0,Cancelled,Y
DL1596,2026-06-17,ATL,AMS,A220,277,60,Air Traffic Control,N
DL1597,2026-06-18,ATL,ICN,B757,287,0,None,N
DL1598,2026-06-08,ATL,ICN,B757,305,90,Crew,N
DL1599,2026-06-21,ATL,ICN,A220,256,0,None,N
DL1600,2026-06-09,ATL,ICN,B767,210,0,None,N
DL1601,2026-06-09,ATL,ICN,A350,261,0,Cancelled,Y
DL1602,2026-06-21,ATL,ICN,B767,178,0,None,N
DL1603,2026-06-13,ATL,ICN,A350,171,15,Mechanical,N
DL1604,2026-06-18,ATL,ICN,B757,186,0,None,N
DL1605,2026-06-20,ATL,ICN,A220,181,25,Crew,N
DL1606,2026-06-01,ATL,ICN,A321,253,0,None,N
DL1607,2026-06-07,ATL,ICN,A321,239,0,None,N
DL1608,2026-06-07,ATL,ICN,A350,167,0,None,N
DL1609,2026-06-03,ATL,ICN,B757,312,0,None,N
DL1610,2026-06-02,ATL,ICN,B767,236,0,None,N
DL1611,2026-06-09,JFK,LHR,B767,251,0,Cancelled,Y
DL1612,2026-06-08,JFK,LHR,B757,248,0,None,N
DL1613,2026-06-10,JFK,LHR,B767,285,0,None,N
DL1614,2026-06-16,JFK,LHR,B767,208,0,None,N
DL1615,2026-06-27,JFK,LHR,B767,203,15,Air Traffic Control,N
DL1616,2026-06-11,JFK,LHR,B767,255,0,None,N
DL1617,2026-06-19,JFK,LHR,A350,232,0,None,N
DL1618,2026-06-25,JFK,LHR,B767,251,0,None,N
DL1619,2026-06-22,LAX,ICN,B767,168,0,Cancelled,Y
DL1620,2026-06-01,LAX,ICN,B767,164,120,Mechanical,N
DL1621,2026-06-15,LAX,ICN,A321,310,60,Mechanical,N
DL1622,2026-06-11,LAX,ICN,A350,300,35,Weather,N
DL1623,2026-06-02,LAX,ICN,A321,287,0,None,N
DL1624,2026-06-23,LAX,ICN,A350,168,60,Weather,N
DL1625,2026-06-16,LAX,ICN,B767,140,0,None,N
DL1626,2026-06-08,LAX,ICN,A220,168,120,Air Traffic Control,N
DL1627,2026-06-12,LAX,ICN,B757,159,0,None,N
DL1628,2026-06-07,LAX,ICN,A350,197,0,None,N
DL1629,2026-06-23,ORD,CDG,A220,190,20,Late Inbound Aircraft,N
DL1630,2026-06-02,ORD,CDG,B757,232,0,None,N
DL1631,2026-06-01,ORD,CDG,B757,280,90,Air Traffic Control,N
DL1632,2026-06-23,ORD,CDG,A321,208,0,None,N
DL1633,2026-06-14,ORD,CDG,A321,178,0,None,N
DL1634,2026-06-25,ORD,CDG,A350,176,0,None,N
DL1635,2026-06-08,ORD,CDG,A220,205,0,None,N
DL1636,2026-06-24,ORD,CDG,A220,162,35,Mechanical,N
DL1637,2026-06-26,ORD,CDG,A220,243,0,None,N
DL1638,2026-06-11,ORD,CDG,B757,311,0,None,N
DL1639,2026-06-19,ATL,JFK,A321,305,0,Cancelled,Y
DL1640,2026-06-17,ATL,JFK,B767,237,0,None,N
DL1641,2026-06-27,ATL,JFK,B757,236,0,None,N
DL1642,2026-06-23,ATL,JFK,A220,208,0,None,N
DL1643,2026-06-22,ATL,JFK,A220,300,0,None,N
DL1644,2026-06-22,ATL,JFK,B757,207,0,None,N
DL1645,2026-06-27,ATL,JFK,A220,273,0,None,N
DL1646,2026-06-16,ATL,JFK,A220,156,0,None,N
DL1647,2026-06-12,ATL,JFK,B767,233,0,None,N
DL1648,2026-06-22,ATL,JFK,B767,257,0,None,N
DL1649,2026-06-21,ATL,JFK,A350,306,0,None,N
DL1650,2026-06-13,ATL,LAX,A350,249,0,None,N
DL1651,2026-06-14,ATL,LAX,A220,309,20,Air Traffic Control,N
DL1652,2026-06-17,ATL,LAX,A321,210,0,None,N
DL1653,2026-06-10,ATL,LAX,A321,255,0,None,N
DL1654,2026-06-24,ATL,LAX,A350,178,0,None,N
DL1655,2026-06-22,ATL,LAX,B767,309,0,None,N
DL1656,2026-06-20,ATL,LAX,B757,237,0,None,N
DL1657,2026-06-01,ATL,LAX,B757,185,45,Weather,N
DL1658,2026-06-23,ATL,LAX,B767,205,0,None,N
DL1659,2026-06-09,ATL,LAX,B767,191,90,Crew,N
DL1660,2026-06-26,ATL,ORD,A321,151,0,None,N
DL1661,2026-06-13,ATL,ORD,A321,215,0,None,N
DL1662,2026-06-14,ATL,ORD,B767,230,0,None,N
DL1663,2026-06-13,ATL,ORD,B757,288,35,Late Inbound Aircraft,N
DL1664,2026-06-03,ATL,ORD,A350,158,0,None,N
DL1665,2026-06-25,ATL,ORD,A321,246,0,None,N
DL1666,2026-06-21,ATL,ORD,A321,319,90,Late Inbound Aircraft,N
DL1667,2026-06-14,ATL,ORD,B767,265,20,Air Traffic Control,N
DL1668,2026-06-17,ATL,ORD,A220,242,35,Mechanical,N
DL1669,2026-06-02,ATL,ORD,A350,257,60,Crew,N
DL1670,2026-06-03,ATL,ORD,B767,162,15,Weather,N
DL1671,2026-07-15,ATL,LHR,A321,225,0,None,N
DL1672,2026-07-02,ATL,LHR,B767,289,0,None,N
DL1673,2026-07-14,ATL,LHR,B757,177,0,None,N
DL1674,2026-07-11,ATL,LHR,A220,187,0,None,N
DL1675,2026-07-09,ATL,LHR,A220,216,75,Weather,N
DL1676,2026-07-13,ATL,LHR,B757,153,0,None,N
DL1677,2026-07-10,ATL,LHR,A220,251,0,None,N
DL1678,2026-07-09,ATL,LHR,A321,235,35,Air Traffic Control,N
DL1679,2026-07-22,ATL,LHR,B757,233,0,None,N
DL1680,2026-07-07,ATL,LHR,A350,309,0,None,N
DL1681,2026-07-24,ATL,LHR,A220,244,0,None,N
DL1682,2026-07-27,ATL,LHR,A220,193,90,Weather,N
DL1683,2026-07-15,ATL,CDG,B767,192,0,None,N
DL1684,2026-07-02,ATL,CDG,A350,171,0,None,N
DL1685,2026-07-05,ATL,CDG,B767,283,90,Weather,N
DL1686,2026-07-16,ATL,CDG,B767,215,0,None,N
DL1687,2026-07-18,ATL,CDG,A350,259,35,Air Traffic Control,N
DL1688,2026-07-07,ATL,CDG,B767,246,0,None,N
DL1689,2026-07-22,ATL,CDG,A321,253,0,None,N
DL1690,2026-07-05,ATL,CDG,A350,174,0,None,N
DL1691,2026-07-06,ATL,CDG,A220,221,35,Crew,N
DL1692,2026-07-24,ATL,CDG,A220,223,0,None,N
DL1693,2026-07-27,ATL,CDG,B767,310,0,None,N
DL1694,2026-07-13,ATL,CDG,B757,179,0,None,N
DL1695,2026-07-21,ATL,NRT,A321,187,90,Weather,N
DL1696,2026-07-11,ATL,NRT,A220,193,60,Weather,N
DL1697,2026-07-17,ATL,NRT,A321,144,0,None,N
DL1698,2026-07-03,ATL,NRT,A350,278,45,Mechanical,N
DL1699,2026-07-07,ATL,NRT,A350,216,35,Mechanical,N
DL1700,2026-07-19,ATL,NRT,B767,228,0,None,N
DL1701,2026-07-05,ATL,NRT,B767,263,60,Air Traffic Control,N
DL1702,2026-07-11,ATL,NRT,A321,283,45,Crew,N
DL1703,2026-07-04,ATL,NRT,A350,258,25,Mechanical,N
DL1704,2026-07-02,ATL,MEX,A350,230,25,Air Traffic Control,N
DL1705,2026-07-12,ATL,MEX,B767,232,0,None,N
DL1706,2026-07-22,ATL,MEX,A321,305,0,None,N
DL1707,2026-07-10,ATL,MEX,B757,267,35,Weather,N
DL1708,2026-07-18,ATL,MEX,B767,202,0,None,N
DL1709,2026-07-19,ATL,MEX,B767,233,0,None,N
DL1710,2026-07-10,ATL,MEX,A220,276,25,Late Inbound Aircraft,N
DL1711,2026-07-08,ATL,MEX,A220,319,15,Air Traffic Control,N
DL1712,2026-07-23,ATL,AMS,A350,207,25,Weather,N
DL1713,2026-07-14,ATL,AMS,A220,214,0,None,N
DL1714,2026-07-04,ATL,AMS,B767,199,0,None,N
DL1715,2026-07-20,ATL,AMS,B767,155,0,None,N
DL1716,2026-07-03,ATL,AMS,B767,150,0,None,N
DL1717,2026-07-20,ATL,AMS,A220,258,45,Air Traffic Control,N
DL1718,2026-07-06,ATL,AMS,A321,245,0,Cancelled,Y
DL1719,2026-07-02,ATL,AMS,B757,178,120,Mechanical,N
DL1720,2026-07-25,ATL,AMS,A350,157,35,Mechanical,N
DL1721,2026-07-16,ATL,ICN,A350,224,0,None,N
DL1722,2026-07-25,ATL,ICN,A350,245,15,Crew,N
DL1723,2026-07-21,ATL,ICN,A321,181,0,None,N
DL1724,2026-07-22,ATL,ICN,B757,206,0,None,N
DL1725,2026-07-02,ATL,ICN,A220,314,0,None,N
DL1726,2026-07-06,ATL,ICN,B757,271,0,None,N
DL1727,2026-07-24,ATL,ICN,A350,301,0,None,N
DL1728,2026-07-03,ATL,ICN,B767,204,0,None,N
DL1729,2026-07-08,ATL,ICN,A321,200,0,None,N
DL1730,2026-07-19,ATL,ICN,A321,152,0,None,N
DL1731,2026-07-22,ATL,ICN,B757,314,0,None,N
DL1732,2026-07-27,ATL,ICN,B757,198,0,None,N
DL1733,2026-07-22,ATL,ICN,A350,218,0,None,N
DL1734,2026-07-10,ATL,ICN,A321,261,20,Crew,N
DL1735,2026-07-20,JFK,LHR,A321,230,120,Weather,N
DL1736,2026-07-15,JFK,LHR,A321,187,20,Late Inbound Aircraft,N
DL1737,2026-07-14,JFK,LHR,B767,170,0,None,N
DL1738,2026-07-22,JFK,LHR,A321,187,0,None,N
DL1739,2026-07-09,JFK,LHR,A321,296,25,Weather,N
DL1740,2026-07-10,JFK,LHR,A220,269,0,None,N
DL1741,2026-07-07,JFK,LHR,A220,240,0,None,N
DL1742,2026-07-01,JFK,LHR,A350,184,0,Cancelled,Y
DL1743,2026-07-08,JFK,LHR,B757,204,0,None,N
DL1744,2026-07-22,JFK,LHR,A321,271,0,None,N
DL1745,2026-07-05,JFK,LHR,A321,310,0,None,N
DL1746,2026-07-17,LAX,ICN,B757,215,0,None,N
DL1747,2026-07-10,LAX,ICN,A220,236,0,None,N
DL1748,2026-07-26,LAX,ICN,A321,267,0,None,N
DL1749,2026-07-12,LAX,ICN,B757,254,20,Mechanical,N
DL1750,2026-07-25,LAX,ICN,A321,223,90,Weather,N
DL1751,2026-07-05,LAX,ICN,B767,209,0,Cancelled,Y
DL1752,2026-07-07,LAX,ICN,A321,151,0,None,N
DL1753,2026-07-06,LAX,ICN,B767,211,0,None,N
DL1754,2026-07-25,ORD,CDG,A350,244,0,None,N
DL1755,2026-07-26,ORD,CDG,B757,266,0,None,N
DL1756,2026-07-23,ORD,CDG,A321,287,0,None,N
DL1757,2026-07-27,ORD,CDG,B767,175,0,None,N
DL1758,2026-07-17,ORD,CDG,B757,183,45,Mechanical,N
DL1759,2026-07-02,ORD,CDG,B767,232,0,None,N
DL1760,2026-07-09,ORD,CDG,A220,190,0,None,N
DL1761,2026-07-11,ORD,CDG,B757,314,0,None,N
DL1762,2026-07-12,ORD,CDG,B757,260,0,None,N
DL1763,2026-07-04,ORD,CDG,A220,255,0,None,N
DL1764,2026-07-14,ATL,JFK,A350,220,0,None,N
DL1765,2026-07-05,ATL,JFK,A220,309,0,None,N
DL1766,2026-07-22,ATL,JFK,A220,241,75,Air Traffic Control,N
DL1767,2026-07-26,ATL,JFK,A321,206,0,None,N
DL1768,2026-07-25,ATL,JFK,A220,276,0,Cancelled,Y
DL1769,2026-07-10,ATL,JFK,B767,207,0,None,N
DL1770,2026-07-03,ATL,JFK,B757,168,75,Crew,N
DL1771,2026-07-06,ATL,JFK,A350,302,0,None,N
DL1772,2026-07-25,ATL,JFK,A321,227,0,None,N
DL1773,2026-07-13,ATL,JFK,B767,187,0,None,N
DL1774,2026-07-18,ATL,JFK,B767,213,0,None,N
DL1775,2026-07-07,ATL,JFK,A220,140,75,Weather,N
DL1776,2026-07-22,ATL,JFK,A220,194,0,None,N
DL1777,2026-07-24,ATL,JFK,B767,173,0,None,N
DL1778,2026-07-22,ATL,LAX,A321,148,20,Crew,N
DL1779,2026-07-10,ATL,LAX,A321,320,0,None,N
DL1780,2026-07-20,ATL,LAX,A220,294,0,None,N
DL1781,2026-07-27,ATL,LAX,B757,197,0,None,N
DL1782,2026-07-04,ATL,LAX,B757,160,0,None,N
DL1783,2026-07-01,ATL,LAX,B767,257,60,Weather,N
DL1784,2026-07-15,ATL,LAX,A350,292,90,Mechanical,N
DL1785,2026-07-02,ATL,LAX,B767,263,0,None,N
DL1786,2026-07-10,ATL,LAX,A220,224,0,None,N
DL1787,2026-07-08,ATL,ORD,B757,193,0,None,N
DL1788,2026-07-27,ATL,ORD,B767,147,0,None,N
DL1789,2026-07-25,ATL,ORD,A321,208,0,None,N
DL1790,2026-07-12,ATL,ORD,A220,162,0,None,N
DL1791,2026-07-04,ATL,ORD,A321,290,0,None,N
DL1792,2026-07-08,ATL,ORD,B757,154,0,None,N
DL1793,2026-07-18,ATL,ORD,A321,158,0,None,N
DL1794,2026-07-19,ATL,ORD,A220,314,0,None,N
DL1795,2026-07-15,ATL,ORD,A321,168,0,None,N
DL1796,2026-07-06,ATL,ORD,B767,190,120,Weather,N
DL1797,2026-07-25,ATL,ORD,B757,319,0,None,N
DL1798,2026-07-24,ATL,ORD,A321,192,15,Weather,N
